model,framework,mAP 50-95
yolov5n,pytorch,34.3
yolov5s,pytorch,43.0
yolov5m,pytorch,49.0
yolov5l,pytorch,52.2
yolov5x,pytorch,53.2
YOLOv8n,pytorch,37.3
YOLOv8s,pytorch,44.9
YOLOv8m,pytorch,50.2
YOLOv8l,pytorch,52.9
YOLOv8x,pytorch,53.9
YOLOv10n,pytorch,38.5
YOLOv10s,pytorch,46.3
YOLOv10m,pytorch,51.1
YOLOv10b,pytorch,52.5
YOLOv10l,pytorch,53.2
YOLOv10x,pytorch,54.4
yolov10b,hailo,52.0
yolov10n,hailo,38.5
yolov10s,hailo,45.86
yolov10x,hailo,53.7
yolov5m,hailo,42.59
yolov5s,hailo,35.33
yolov8l,hailo,52.44
yolov8m,hailo,49.91
yolov8n,hailo,37.02
yolov8s,hailo,44.58
yolov8x,hailo,53.45
yolov8n,tflite_f32,37.03559118251259
yolov8s,onnx,44.71588638716728
yolov8s,ncnn,44.71588640173783
yolov8s,tflite_f32,44.71590925643171
yolov8s,tflite_int8,44.23437499989735
yolov8s,tflite_f16,44.71548035739889
yolov8m,onnx,49.993172185209817
yolov8m,ncnn,49.99317267328455
yolov8m,tflite_f32,49.993180336502135
yolov8m,tflite_int8,49.3430219135368
yolov8m,tflite_f16,49.97952124033583
yolov8n,onnx,37.035545933702885
yolov8n,tflite_edgetpu,37.097824083809594
yolov8n,ncnn,37.03558145368041
yolov8n,tflite_int8,36.00192449899778
yolov5su,onnx,42.66735129256257
yolov5su,ncnn,42.66735188227642
yolov5su,tflite_int8,41.9397809681019
yolov5nu,onnx,33.997340569515785
yolov5nu,ncnn,33.99740255876449
yolov5nu,tflite_int8,33.29714173403096
