device,model,framework,time
rpi5,yolov8n,tflite,0.38288748264312744
rpi5,yolov8s,tflite,1.1786076784133912
rpi5,yolov8n,tflite,0.387138819694519
rpi5,yolov8s,tflite,1.0847811222076416
rpi5,yolov8m,tflite,3.2209669828414915
rpi5,yolov8l,tflite,6.881599020957947
rpi5,yolov8n,tflite,0.38145644664764405
rpi5,yolov8s,tflite,1.08980712890625
rpi5,yolov8m,tflite,3.3277879476547243
rpi5,yolov8m,tflite,2.917102074623108
rpi5,yolov5nu,tflite,0.34152095317840575
rpi5,yolov5su,tflite,0.9198028802871704
rpi5,yolov5mu,tflite,2.612943720817566
rpi5,yolov10n,tflite,0.429620099067688
rpi5,yolov10n,tflite,0.3419060707092285
rpi5,yolov10n,tflite,0.35341482162475585
rpi5,yolov10s,tflite,0.9941147089004516
rpi5,yolov10m,tflite,2.7131030559539795
rpi5,yolov8n,onnx,0.25491721630096437
rpi5,yolov8s,onnx,0.6491925716400146
rpi5,yolov8m,onnx,1.489827275276184
rpi5,yolov8n,onnx,0.2105165481567383
rpi5,yolov8s,onnx,0.5086307525634766
rpi5,yolov8n,ncnn,0.11656310558319091
rpi5,yolov8s,ncnn,0.2623360872268677
rpi5,yolov8n,onnx,0.20882055759429932
rpi5,yolov8s,onnx,0.4990293741226196
rpi5,yolov8n,ncnn,0.11893210411071778
rpi5,yolov8s,ncnn,0.2548551559448242
rpi5,yolov8n,onnx,0.2110154390335083
rpi5,yolov8s,onnx,0.5054750919342041
rpi5,yolov8n,ncnn,0.11775035858154297
rpi5,yolov8s,ncnn,0.25499231815338136
rpi5,yolov10n,onnx,0.24903006553649903
rpi5,yolov10s,onnx,0.5873405694961548
rpi5,yolov8n,tflite,0.381935715675354
rpi5,yolov8s,tflite,1.1045010566711426
rpi5,yolov8m,tflite,3.189869022369385
rpi5,yolov8n,onnx,0.25878951549530027
rpi5,yolov8s,onnx,0.6269556760787964
rpi5,yolov8m,onnx,1.4997671365737915
rpi5,yolov8n,ncnn,0.13262588977813722
rpi5,yolov8s,ncnn,0.2733739137649536
rpi5,yolov8m,ncnn,0.5631577730178833
rpi5,yolov5nu,tflite,0.42645351886749266
rpi5,yolov5su,tflite,1.1561410665512084
rpi5,yolov5mu,tflite,2.887437629699707
rpi5,yolov5nu,onnx,0.23544020652770997
rpi5,yolov5su,onnx,0.5639357328414917
rpi5,yolov5mu,onnx,1.2655364274978638
rpi5,yolov5nu,ncnn,0.13368380069732666
rpi5,yolov5su,ncnn,0.25278606414794924
rpi5,yolov5mu,ncnn,0.48793151378631594
rpi5,yolov10b,hailo,0.10922369956970215
rpi5,yolov10n,hailo,0.03649959564208984
rpi5,yolov10s,hailo,0.05927445888519287
rpi5,yolov10x,hailo,0.1708155393600464
rpi5,yolov5m,hailo,0.09636549949645996
rpi5,yolov5s,hailo,0.05327730178833008
rpi5,yolov8l,hailo,0.16771557331085205
rpi5,yolov8m,hailo,0.09720287322998047
rpi5,yolov8n,hailo,0.034839200973510745
rpi5,yolov8s,hailo,0.05889463424682617
rpi5,yolov8x,hailo,0.24318199157714843
rpi5,yolov5mu,coral usb,0.20836503505706788
rpi5,yolov8s,coral usb,1.0438716411590576
rpi5,yolov10n,coral usb,0.3923026561737061
rpi5,yolov10s,coral usb,0.9942052841186524
rpi5,yolov10b,coral usb,3.466394472122192
rpi5,yolov10x,coral usb,6.250165891647339
